一|2|one, one radical (no.1)|2|イチ、イツ|ひと-、ひと.つ|1|一: one, one radical (no. 1)|one|1
丁|1311|street, ward, town, counter for guns, tools, leaves or cakes of something, even number, 4th calendar sign|1312|チョウ、テイ、チン、トウ、チ|ひのと|2|一: one; one radical (no.1)<br>亅: feathered stick; barb radical (no. 6)|street|95
七|115|seven|115|シチ|なな、なな.つ、なの|2|一: one; one radical (no.1)<br>乙: the latter; duplicate; strange; witty; fishhook radical (no. 5)|seven|7
万|375|ten thousand, 10,000|375|マン、バン|よろず|3|一: one; one radical (no.1)|ten thousand|68
丈|1374|length, ten shaku, measure, Mr., Ms., height, stature, all (one has), only, that's all, merely|1375|ジョウ|たけ、だけ|3|一: one; one radical (no.1)<br>乂: mow; cut grass; subdue|length|746
三|14|three|14|サン、ゾウ|み、み.つ、みっ.つ|3|一: one; one radical (no.1)<br>一: one; one radical (no.1)<br>一: one; one radical (no.1)|three|3
上|35|above, up|35|ジョウ、ショウ、シャン|うえ、-うえ、うわ-、かみ、あ.げる、-あ.げる、あ.がる、-あ.がる、あ.がり、-あ.がり、のぼ.る、のぼ.り、のぼ.せる、のぼ.す、たてまつ.る|3|卜: divination<br>一: one; one radical (no.1)|above|50
下|97|below, down, descend, give, low, inferior|97|カ、ゲ|した、しも、もと、さ.げる、さ.がる、くだ.る、くだ.り、くだ.す、-くだ.す、くだ.さる、お.ろす、お.りる|3|一: one; one radical (no.1)<br>卜: divination|below|51
不|101|negative, non-, bad, ugly, clumsy|101|フ、ブ||4|一: one; one radical (no.1)<br>丿: katakana no radical (no. 4)<br>丨: number one; line; rod radical (no. 2)|negative|1302
与|308|bestow, participate in, give, award, impart, provide, cause, gift, godsend|308|ヨ|あた.える、あずか.る、くみ.する、ともに|3|一: one; one radical (no.1)|bestow|1335
丑|2255|sign of the ox or cow, 1-3AM, second sign of Chinese zodiac|2305|チュウ|うし|4|一: one; one radical (no.1)|sign of the cow|2197
且|2405|moreover, also, furthermore|9999|ショ、ソ、ショウ|か.つ|5|月: month; moon<br>一: one; one radical (no.1)|moreover|2190
世|135|generation, world, society, public|135|セイ、セ、ソウ|よ|5|廿: twenty; 20|generation|28
丘|1404|hill, knoll|1405|キュウ|おか|5|斤: axe; 1.32 lb; catty; counter for loaves of bread; axe radical (no. 69)<br>一: one; one radical (no.1)|hill|1427
丙|2406|third class, 3rd, 3rd calendar sign|9999|ヘイ|ひのえ|5|一: one; one radical (no.1)<br>内: inside; within; between; among; house; home|third class|1096
