魚。	Fish.<br>- 001 Basic Grammar - Expressing State-of-Being: Declaring something is so and so using 「だ」	001 Basic Grammar - Expressing State-of-Being: Declaring something is so and so using 「だ」
魚だ。	Is fish.<br>- 002 Basic Grammar - Expressing State-of-Being: Declaring something is so and so using 「だ」	002 Basic Grammar - Expressing State-of-Being: Declaring something is so and so using 「だ」
魚じゃない。	Is not fish.<br>- 003 Basic Grammar - Expressing State-of-Being: Conjugating to the negative state-of-being	003 Basic Grammar - Expressing State-of-Being: Conjugating to the negative state-of-being
学生じゃない。	Is not student.<br>- 004 Basic Grammar - Expressing State-of-Being: Conjugating to the negative state-of-being	004 Basic Grammar - Expressing State-of-Being: Conjugating to the negative state-of-being
静かじゃない。	Is not quiet.<br>- 005 Basic Grammar - Expressing State-of-Being: Conjugating to the negative state-of-being	005 Basic Grammar - Expressing State-of-Being: Conjugating to the negative state-of-being
魚だった。	Was fish.<br>- 006 Basic Grammar - Expressing State-of-Being: Conjugating for the past state-of-being	006 Basic Grammar - Expressing State-of-Being: Conjugating for the past state-of-being
学生じゃなかった。	Was not student.<br>- 007 Basic Grammar - Expressing State-of-Being: Conjugating for the past state-of-being	007 Basic Grammar - Expressing State-of-Being: Conjugating for the past state-of-being
静かじゃなかった。	Was not quiet.<br>- 008 Basic Grammar - Expressing State-of-Being: Conjugating for the past state-of-being	008 Basic Grammar - Expressing State-of-Being: Conjugating for the past state-of-being
アリスは学生？／うん、学生。	Are you (Alice) student? / Yeah, I am.<br>- 009 Basic Grammar - Introduction to Particles: The 「は」 topic particle	009 Basic Grammar - Introduction to Particles: The 「は」 topic particle
ジムは明日？／明日じゃない。	Jim is tomorrow? / Not tomorrow.<br>- 010 Basic Grammar - Introduction to Particles: The 「は」 topic particle	010 Basic Grammar - Introduction to Particles: The 「は」 topic particle
今日は試験だ。／ジムは？／ジムは明日。	Today is exam. / What about Jim? / Jim is tomorrow.<br>- 011 Basic Grammar - Introduction to Particles: The 「は」 topic particle	011 Basic Grammar - Introduction to Particles: The 「は」 topic particle
アリスは学生？／うん、トムも学生。	Are you (Alice) student? / Yes, and Tom is also student.<br>- 012 Basic Grammar - Introduction to Particles: The 「も」 inclusive topic particle	012 Basic Grammar - Introduction to Particles: The 「も」 inclusive topic particle
アリスは学生？／うん、でもトムは学生じゃない。	Are you (Alice) student? / Yes, but Tom is not student.<br>- 013 Basic Grammar - Introduction to Particles: The 「も」 inclusive topic particle	013 Basic Grammar - Introduction to Particles: The 「も」 inclusive topic particle
アリスは学生？／ううん、トムも学生じゃない。	Are you (Alice) student? / No, and Tom is also not student.<br>- 014 Basic Grammar - Introduction to Particles: The 「も」 inclusive topic particle	014 Basic Grammar - Introduction to Particles: The 「も」 inclusive topic particle
誰が学生？／ジムが学生。	Who is the one that is student? / Jim is the one who is the student.<br>- 015 Basic Grammar - Introduction to Particles: The 「が」 identifier particle	015 Basic Grammar - Introduction to Particles: The 「が」 identifier particle
誰が学生？	Who is the one that is student?<br>- 016 Basic Grammar - Introduction to Particles: The 「が」 identifier particle	016 Basic Grammar - Introduction to Particles: The 「が」 identifier particle
学生は誰？	(The) student is who?<br>- 017 Basic Grammar - Introduction to Particles: The 「が」 identifier particle	017 Basic Grammar - Introduction to Particles: The 「が」 identifier particle
静かな人。	Quiet person.<br>- 018 Basic Grammar - Adjectives: The na-adjective	018 Basic Grammar - Adjectives: The na-adjective
友達は親切。	Friend is kind.<br>- 019 Basic Grammar - Adjectives: The na-adjective	019 Basic Grammar - Adjectives: The na-adjective
友達は親切な人。	Friend is kind person.<br>- 020 Basic Grammar - Adjectives: The na-adjective	020 Basic Grammar - Adjectives: The na-adjective
ボブは魚が好きだ。	Bob likes fish.<br>- 021 Basic Grammar - Adjectives: The na-adjective	021 Basic Grammar - Adjectives: The na-adjective
ボブは魚が好きじゃない。	Bob does not like fish.<br>- 022 Basic Grammar - Adjectives: The na-adjective	022 Basic Grammar - Adjectives: The na-adjective
ボブは魚が好きだった。	Bob liked fish.<br>- 023 Basic Grammar - Adjectives: The na-adjective	023 Basic Grammar - Adjectives: The na-adjective
ボブは魚が好きじゃなかった。	Bob did not like fish.<br>- 024 Basic Grammar - Adjectives: The na-adjective	024 Basic Grammar - Adjectives: The na-adjective
魚が好きなタイプ。	Type that likes fish.<br>- 025 Basic Grammar - Adjectives: The na-adjective	025 Basic Grammar - Adjectives: The na-adjective
魚が好きじゃないタイプ。	Type that does not like fish.<br>- 026 Basic Grammar - Adjectives: The na-adjective	026 Basic Grammar - Adjectives: The na-adjective
魚が好きだったタイプ。	Type that liked fish.<br>- 027 Basic Grammar - Adjectives: The na-adjective	027 Basic Grammar - Adjectives: The na-adjective
魚が好きじゃなかったタイプ。	Type that did not like fish.<br>- 028 Basic Grammar - Adjectives: The na-adjective	028 Basic Grammar - Adjectives: The na-adjective
魚が好きじゃないタイプは、肉が好きだ。	Types (of people) who do not like fish like meat.<br>- 029 Basic Grammar - Adjectives: The na-adjective	029 Basic Grammar - Adjectives: The na-adjective
高いビル。	Tall building.<br>- 030 Basic Grammar - Adjectives: The i-adjective	030 Basic Grammar - Adjectives: The i-adjective
高くないビル。	Not tall building.<br>- 031 Basic Grammar - Adjectives: The i-adjective	031 Basic Grammar - Adjectives: The i-adjective
